prng,prow,expt,identity1.x,checks,Test,Location,Year,Loc_Year_test,MM_CA,MM_CEC,MM_K,MM_MG,MM_OM,MM_P1,MM_PH,MM_CLAY,MM_SAND,MM_SILT,Plot,identity1.y,Yield,X,Population,Cl,Clre,Datt1,Datt4,Datt6,DDI,DPI,GNDVI,MCARI,MCARI3,mSR,mSR2,MTCI,MTVI1,ND1,ND2,NDchl,NDRE,NDVI1,NDVI2,NDVI3,NPCL,NPQI,OSAVI,PBI,PPR,PRI,PSNDb1,PSNDc1,PSNDc2,PSRI,PSSRc1,PSSRc2,PVR,PWI,RDVI,RVSI,SAVI,SIPI,SR1,SR2,SR3,SR4,DSWI-4,SRPI,TCARI,TCI,TVI,WBI,Latitude,Longitude
20,85,21-B-316,LD11-2170,4,B,Burkey,2021,2021_B_Burkey,1779.68,15.54,169.42,219.63,3.1,19,5.54,24.54,39.13,36.33,1,LD11_2170,66.87,1,LD11_2170,1.007647896,0.814260319,0.786015416,3.274712038,11.35008252,0.1445716,9.583377697,0.453412825,0.062844622,0.284869445,7.498061132,0.590259015,2.786702257,0.612149952,0.04581205,0.005329653,0.343839878,0.251467144,0.459691461,0.453412825,0.289333689,0.115531021,-0.004540346,0.499265819,3.021628867,0.20634872,0.052972363,0.500505137,0.607764655,0.623195299,0.093062108,4.098979538,1.165436686,-0.291388461,0.883433149,0.461550575,0.00119395,0.499265819,0.582624249,0.792868116,0.259026185,1.05707829,0.376071524,1.028069178,0.792868116,0.13701692,0.075077106,21.554986,0.876946526,-93.78720732,42.01148334
2,63,20-B-307,A16355-209,0,B,CAD,2020,2020_B_CAD,1803.333,16.5,157.833,267.5,2.883,9.833,6.05,24.517,39.1,37.083,1,A16355-209,38.57,1,A16355,1.102816339,0.11847918,0.86333958,0.813648937,1.586868903,-0.274202,1.89418295,0.083942365,0.175165528,0.102414603,-6.568185138,0.074509995,1.344558341,1.16270232,-0.020176187,-0.023749075,0.236638064,0.087753318,0.084404348,0.083942365,0.055926525,-0.054823531,0.024880625,0.289403232,1.738795257,0.032631604,-0.024480272,0.23302275,0.193407754,0.239572084,-0.128571207,1.479567599,1.353332401,0.59040764,0.926314864,0.43926536,0.1539235,0.289403232,0.226718519,1.116006973,0.77357251,1.064310135,0.845116553,1.062934124,1.116006973,0.440413306,0.233657489,19.0259,0.967990433,-93.78745203,42.01184861
16,23,20-A-209,A17112-171,0,A,Burkey,2020,2020_A_Burkey,1922.556,15.778,154.333,282.222,2.644,16.111,5.789,25.989,37.033,38.122,1,A17112-171,73.63,1,A17112,0.973017665,0.08579886,0.823062893,1.746644069,2.623629973,0.049037326,3.333644006,0.131929261,0.030919063,0.023375585,2.355253091,0.072900552,1.658862815,0.193266854,0.029948784,0.05460596,0.12967149,0.081804024,0.088047943,0.131929261,0.041134772,0.094864354,0.025315427,0.139998687,1.490081701,0.086125777,0.035258165,0.125899137,0.206043505,0.236816935,0.131031673,1.519029711,1.087276251,-0.004602052,0.97369213,0.153757236,0.026126467,0.139998687,0.209067445,0.826710308,0.633786001,0.924035953,0.766894866,0.904637411,0.826710308,0.081815568,0.040699612,5.75149452,0.981925413,-93.78861057,42.01229705
2,33,20-A-301,A17103-16,0,A,Burkey,2020,2020_A_Burkey,2285.5,16.833,191.167,285.5,3.55,41.833,5.867,27.767,34.35,39.333,1,A17103-16,72.9,1,A17103,1.000234037,0.146967619,0.858352152,2.571891249,4.315011699,0.039046628,5.344788461,0.127672447,0.026508035,0.041024895,8.170586461,0.097218759,1.746172115,0.19068096,0.025224139,0.049559192,0.188283398,0.097374399,0.103678486,0.127672447,0.068453579,-0.008203096,0.049532457,0.157752841,1.495350859,0.03708839,0.033271346,0.143003059,0.187535608,0.193259372,0.052720967,1.461646344,1.090524285,-0.162886374,1.041913275,0.14849307,0.029455356,0.157752841,0.172213316,1.016541887,0.711241051,0.977481218,0.77356466,0.968491592,1.016541887,0.071184362,0.036289961,5.78077908,1.085239636,42.04773996,-93.73978008
16,115,21-A-313,A18113-171,0,A,Marsden_East,2021,2021_A_Marsden_East,2313.56,18.21,138.57,468.43,3.97,11.67,6.27,25.8,32.6,42.52,1,A18113-171,77,1,A18113,0.955236364,0.547501771,0.80442311,3.026648768,7.456119083,0.1148884,7.059019909,0.344766804,0.041537547,0.187747136,7.855672986,0.391069672,2.754414658,0.460786284,0.033824308,0.020320042,0.278244974,0.204455122,0.332864004,0.344766804,0.214917131,0.067821788,0.052944147,0.373842613,2.350471071,0.123416454,0.048434134,0.372658695,0.448074441,0.467327571,0.084556098,2.623677086,1.139227738,-0.250268126,0.956567741,0.350620094,0.0133961,0.373842613,0.423980933,0.87297171,0.397474555,0.988195818,0.487246706,0.967500952,0.87297171,0.101679853,0.053133619,16.193358,0.983768815,42.04697095,-93.73904448
13,5,21-B-204,A17107-29,0,B,Burkey,2021,2021_B_Burkey,3273.39,21.67,179.05,455.86,4.52,27.75,5.89,26.23,33.84,39.93,1,A17107-29,81.38,1,A17107,0.986265439,0.469870346,0.818488334,2.743796968,6.281663775,0.1151483,5.85165694,0.328015556,0.036772121,0.174857199,4.42403439,0.342462015,2.915573233,0.422398776,0.048759759,0.048686391,0.249349158,0.184530235,0.289134446,0.328015556,0.190240895,0.143625837,0.027468346,0.330864637,2.224737244,0.116038122,0.040963577,0.32470016,0.432654246,0.463027456,0.118277598,2.525187217,1.13179102,-0.226729593,0.948280926,0.324220107,0.0028708,0.330864637,0.414954691,0.748823728,0.398334861,0.938781757,0.506006455,0.910401633,0.748823728,0.090824586,0.046130854,15.248404,0.896803085,42.04658645,-93.7395962
2,45,21-B-306,A17112-117,0,B,Burkey,2021,2021_B_Burkey,3282.39,25.95,186.23,496.59,4.71,27.52,5.84,28.14,30.13,41.73,1,A17112-117,74.34,1,A17112,1.000606213,0.318469575,0.78942193,1.959869479,3.980940173,0.089089,4.257638907,0.271972678,0.052013575,0.141542468,4.133128228,0.248742867,2.144717668,0.484149036,0.034603053,0.043095078,0.210260705,0.149327727,0.226477654,0.271972678,0.137361982,0.119363957,0.024911351,0.300905683,1.956698105,0.096646553,0.031268168,0.272187124,0.379531065,0.403803303,0.125770491,2.223368466,1.136245207,-0.112449631,0.957309939,0.324767146,0.0088881,0.300905683,0.364886713,0.78672896,0.469115242,0.94704526,0.572360818,0.916230698,0.78672896,0.129206537,0.065964434,16.29358,0.955998832,42.00918995,-93.77772408
2,35,21-A-211Y,A18105-55,0,A,Marsden_East,2021,2021_A_Marsden_East,3465.85,24.64,204.27,658.68,4.55,28.35,6.68,28.76,28.34,41.98,1,A18105-55,85.3,1,A18105,1.03331473,2.09024686,0.807995574,2.907301939,25.79061383,0.23551998,24.61264245,0.586282308,0.080493042,0.681599841,-12.20102613,1.311079604,3.891107817,0.845849766,0.057688446,-0.307776186,0.505049584,0.376651999,0.741959653,0.586282308,0.511031958,-0.312448696,0.069923237,0.735167032,4.501926264,0.180849152,0.064102064,0.756149596,0.72558059,0.713679653,-0.040758413,6.288114217,1.183493763,-0.22186317,0.808470695,0.6340048,-0.00304825,0.735167032,0.723007629,1.908873837,0.197082172,2.071420961,0.260809624,2.001157899,1.908873837,0.158927155,0.104652117,31.243051,0.821456903,42.00957397,-93.77919361
50,43,20-A-308,A17435-97,0,A,Burkey,2020,2020_A_Burkey,3542.667,25.556,207.667,509.444,4.4,25,6.156,27.867,30.722,39.567,1,A17435-97,69.44,1,A17435,0.99017794,0.112286604,0.772675123,2.405340655,3.803508414,0.025296309,5.199722128,0.134070799,0.036450269,0.027260048,4.590272626,0.092706013,1.511759273,0.203511181,0.019588801,0.03106462,0.145636952,0.088142057,0.101623139,0.134070799,0.053158792,0.013700121,0.039508968,0.16402895,1.52925345,0.054700226,0.030853518,0.140752358,0.185563243,0.206355035,0.049733746,1.455684845,1.068558163,-0.158122489,1.016969113,0.156177396,0.022997784,0.16402895,0.193148784,0.972970071,0.685649854,0.978700133,0.763558326,0.956256434,0.972970071,0.094846638,0.048673,6.25287542,0.997198205,42.0144947,-93.78677758
23,53,20-B-308,A16356-32,0,B,CAD,2020,2020_B_CAD,4253.333,26.889,188.111,418.222,5.078,18.111,6.867,27.356,32.467,40.267,1,A16356-32,65.66,1,A16356,0.952500233,0.248942508,0.785177485,0.817668231,1.676489519,0.1396605,1.860107905,0.205972637,0.134491054,0.232456282,6.082594103,0.203545561,1.762578378,1.25713758,0.030304243,0.0110558,0.200926211,0.171645852,0.209954106,0.205972637,0.11069314,0.061706425,0.022032517,0.330595763,1.906372769,0.127478706,0.043777595,0.291235932,0.341120905,0.38269958,0.076901901,2.035458271,1.18762473,0.506367715,0.918215122,0.503223418,0.0020405,0.330595763,0.343062082,0.88375991,0.501621935,1.023686369,0.658412421,0.998341874,0.88375991,0.343531036,0.179595327,34.27807,0.939272395,42.01394607,-93.787587
